,SpatialDim,ParentLocationCode,TimeDim,Dim2,AirPollDALYs,Low,High
9634,GAB,AFR,2011,GHECAUSE_GHE000390,1069.842,547.598,1663.788
9647,KHM,WPR,2012,GHECAUSE_GHE001140,1267.68,771.715,1793.627
9650,SUR,AMR,2014,GHECAUSE_GHE001130,486.766,279.052,698.363
9655,KEN,AFR,2016,GHECAUSE_GHE001130,697.222,535.136,829.852
9657,LTU,EUR,2017,GHECAUSE_GHE001130,539.186,307.448,739.376
9661,JOR,EMR,2018,GHECAUSE_GHE000390,108.808,65.51,152.702
9665,MDG,AFR,2017,GHECAUSE_GHE000390,2265.271,1926.261,2568.695
9671,PRY,AMR,2017,GHECAUSE_GHE000390,327.666,246.678,418.264
9675,NPL,SEAR,2011,GHECAUSE_GHE001180,1622.099,1020.7,2340.448
9679,VNM,WPR,2016,GHECAUSE_GHE001180,201.207,78.321,378.618
9682,LBR,AFR,2017,GHECAUSE_GHE000680,47.328,39.603,53.977
9684,IND,SEAR,2017,GHECAUSE_GHE001130,1420.362,1042.99,1768.379
9685,LKA,SEAR,2016,GHECAUSE_GHE001180,433.055,255.368,638.316
9687,IRQ,EMR,2015,GHECAUSE_GHE000000,2163.866,1690.091,2703.504
9689,BIH,EUR,2015,GHECAUSE_GHE001140,772.003,409.562,1191.654
9692,GRD,AMR,2016,GHECAUSE_GHE000390,190.76,75.471,338.603
9698,NPL,SEAR,2017,GHECAUSE_GHE000390,681.567,554.974,787.641
9699,CZE,EUR,2010,GHECAUSE_GHE001140,141.188,71.092,216.207
9700,GEO,EUR,2019,GHECAUSE_GHE001180,92.41,31.329,186.636
9701,CYP,EUR,2013,GHECAUSE_GHE000680,31.344,16.157,52.34
9705,UGA,AFR,2011,GHECAUSE_GHE000680,47.533,40.28,54.157
9707,POL,EUR,2015,GHECAUSE_GHE001140,136.673,68.612,207.378
9708,NOR,EUR,2015,GHECAUSE_GHE001130,106.017,54.123,153.827
9710,BDI,AFR,2019,GHECAUSE_GHE000680,30.022,24.904,34.655
9711,NGA,AFR,2012,GHECAUSE_GHE000680,28.107,23.655,31.87
9712,CIV,AFR,2018,GHECAUSE_GHE001140,1005.768,606.443,1461.904
9714,COD,AFR,2015,GHECAUSE_GHE001180,622.629,422.193,865.153
9715,NGA,AFR,2017,GHECAUSE_GHE000000,6341.5,5596.48,7020.808
9716,MNG,WPR,2012,GHECAUSE_GHE001180,229.915,129.38,350.925
9719,ISL,EUR,2011,GHECAUSE_GHE001180,28.746,4.457,79.611
9720,IRN,EMR,2017,GHECAUSE_GHE001140,219.911,111.158,347.422
9722,EMR,,2014,GHECAUSE_GHE001130,1663.278,1201.127,2078.122
9727,TUN,EMR,2010,GHECAUSE_GHE001180,72.632,23.228,146.393
