Id,IndicatorCode,SpatialDim,ParentLocationCode,TimeDim,NumericValue_MDG,Low,High
188767,MDG_0000000007,ALB,EUR,2019,8.21761303,6.902409769,9.698215269
188796,MDG_0000000007,FJI,WPR,2010,25.13544785,21.807340991,28.498465788
189196,MDG_0000000007,BRN,WPR,2015,10.003270626,9.329477012,10.69923446
189351,MDG_0000000007,ERI,AFR,2018,45.856466991,28.758986242,73.182770609
192132,MDG_0000000007,HTI,AMR,2015,82.316539665,67.060009178,102.658340053
192761,MDG_0000000007,HND,AMR,2012,15.417088704,12.294332483,19.134021669
197380,MDG_0000000007,UNSDG_SUBSAHARANAFRICA,,2012,95.767882426,91.993760226,100.733247796
197680,MDG_0000000007,COL,AMR,2012,12.029505366,9.43574903,15.224008877
203265,MDG_0000000007,PAK,EMR,2017,83.525800055,73.155237743,95.265132623
203480,MDG_0000000007,UGA,AFR,2011,71.103947009,64.134516696,78.787617303
205818,MDG_0000000007,TJK,EUR,2012,27.657560237,22.974245046,32.905077372
207725,MDG_0000000007,GNB,AFR,2015,80.298168745,55.994619519,110.90754247
209338,MDG_0000000007,GAB,AFR,2014,40.609762386,33.056447362,49.764912977
209603,MDG_0000000007,BLR,EUR,2019,2.710158749,2.238547301,3.225379415
209707,MDG_0000000007,WB_HI,,2013,6.17951646,6.118164857,6.25130741
211420,MDG_0000000007,MCO,EUR,2013,3.720533613,3.178720551,4.361981555
212957,MDG_0000000007,MOZ,AFR,2010,106.517543369,94.247021288,119.503222718
213127,MDG_0000000007,LAO,WPR,2018,46.837271304,35.75362079,60.135917616
214987,MDG_0000000007,VCT,AMR,2019,13.059948794,11.204628636,15.224837506
215094,MDG_0000000007,SDN,EMR,2012,81.354368072,67.601161097,96.979765836
216122,MDG_0000000007,LKA,SEAR,2018,8.439875447,7.31076401,9.601479103
217589,MDG_0000000007,KGZ,EUR,2015,28.078809259,24.003296264,32.474672692
218624,MDG_0000000007,MAR,EMR,2015,33.492014294,25.554583408,42.589911969
221957,MDG_0000000007,CIV,AFR,2010,69.508482266,60.228981765,79.391417905
221973,MDG_0000000007,GAB,AFR,2010,37.700615987,29.669942653,47.452275161
222060,MDG_0000000007,SYR,EMR,2015,36.958645272,23.955001655,44.893879169
223383,MDG_0000000007,STP,AFR,2012,29.531637026,22.21996181,38.315758939
227037,MDG_0000000007,MAR,EMR,2017,30.213190445,22.187812801,39.875071655
230872,MDG_0000000007,IND,SEAR,2018,18.381444325,15.855256463,21.251131254
232440,MDG_0000000007,VCT,AMR,2018,13.936444444,12.222565066,15.884033141
232648,MDG_0000000007,AND,EUR,2018,3.08401718,0.908628527,10.734056038
233172,MDG_0000000007,MOZ,AFR,2015,59.340899996,51.234280614,68.798283769
235441,MDG_0000000007,KGZ,EUR,2017,20.183656775,18.377516357,21.936801861
235779,MDG_0000000007,TJK,EUR,2016,29.387920931,25.282083149,34.020128575
236192,MDG_0000000007,COM,AFR,2016,42.277472461,33.010790381,52.302805219
237464,MDG_0000000007,AFG,EMR,2010,112.708311478,100.762794641,125.49065782
239546,MDG_0000000007,GNQ,AFR,2015,93.251843007,63.335850984,133.084210009
241103,MDG_0000000007,TZA,AFR,2017,51.428621685,45.075703922,58.702741248
244348,MDG_0000000007,UNSDG_SOUTHEASTERNASIA,,2010,32.156848271,30.764304816,33.688154412
244413,MDG_0000000007,GNB,AFR,2018,85.071218234,55.689021933,126.767075668
244607,MDG_0000000007,ROU,EUR,2018,7.254266577,7.085471934,7.426593915
244935,MDG_0000000007,FIN,EUR,2016,2.428923414,2.29786952,2.565726082
246176,MDG_0000000007,MWI,AFR,2016,49.570564196,38.840015722,61.695070779
246217,MDG_0000000007,MDV,SEAR,2017,7.635827649,6.379928617,9.056533788
